Category,TargetYear,Action,SLR,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P25,P50,P75,P90,P91,P92,P93,P94,P95,P96,P97,P98,P99
RES_InFP,2040,No mitigation,50th-percentile,23748188.6779039,25019138.8723849,25373847.2325658,25779683.8980671,26122287.4872028,26446907.3476944,26806716.5583586,27247145.1017552,27493792.3428704,27700016.6190732,30935479.2187842,35475155.3901196,41010609.0430432,48006751.016579,49203159.3370693,50122603.112004,51211149.538477,52185776.1707937,53601502.9208473,57535287.363126,62516801.2157229,71488431.297875,82913670.6836416
RES_InFP,2040,No mitigation,90th-percentile,23973899.7665751,24767804.1395978,25432187.8403888,26037989.8155722,26410307.7183586,26877037.8594376,27193217.7563889,27667611.2440629,27973589.1027098,28203413.9765074,30954259.9128642,35625628.9688206,40963649.9583253,47918674.8604024,49055403.7163725,49558058.7161087,50924948.5396711,52180428.2807717,53932559.9313549,55998071.6760795,64945914.0866116,74683129.4414792,90340357.477562
RES_InFP,2040,Raise Utilities,50th-percentile,15319057.6687917,16117046.7223826,16405186.6202489,16647250.403493,16970165.9842501,17202576.398136,17369598.4910345,17699948.8910801,17876169.3104191,18166486.0810887,20394778.7220049,23813366.9349539,28043696.0697089,33521689.3314864,34130103.2073986,35070695.5637736,36054107.2374591,36730979.9282586,38294974.1511455,40572421.8267002,45383321.7728146,52748095.3068564,63308039.4270177
RES_InFP,2040,Raise Utilities,90th-percentile,15510332.5180614,15968349.8950902,16413994.1966987,16904634.1691105,17136948.2156127,17489789.9231759,17747786.1570053,17984936.8275392,18263867.863711,18415274.5008503,20466279.5642175,23867104.7245389,27849160.0560199,33459909.1409727,34251467.8522072,35210090.7182473,35726626.2493775,36726315.1835921,37931664.462394,39865500.6559111,46976157.0664592,56075239.5459844,71859509.6426644
RES_InFP,2040,WFP B,50th-percentile,10471863.6265433,10985721.2596922,11248490.9441612,11394427.5420025,11619528.8310566,11801193.2194944,11940838.3444411,12176176.2238654,12316072.4589935,12482428.8789187,14261546.3496568,16880474.3035499,20187293.7271017,24350377.6577408,24928428.8141375,25657071.5392744,26358229.4150457,26991915.2210484,27878409.6644794,29913687.5609943,33215926.2448285,38516985.8570978,46886984.2048559
RES_InFP,2040,WFP B,90th-percentile,10599731.7799766,10844873.5776557,11263602.0547335,11525587.7084138,11770425.5904818,12006495.902535,12206579.783229,12398129.2568389,12610003.481745,12757990.9171041,14284827.9420867,16965293.2537706,20004973.3766738,24464812.4621662,24994547.9890464,25610173.7511009,26172169.9650348,26921863.6337954,27785072.7778007,29191286.1726136,34250203.0943504,40854524.264283,56418206.8941588
RES_InFP,2040,Elevate,50th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RES_InFP,2040,Elevate,90th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4750458.570679
RES_InFP,2040,WFP 1st,50th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250.370380920649,1225.29325448058,1904.50321940851,2737.01058789266,5434.00981166644,7676.55951962763
RES_InFP,2040,WFP 1st,90th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298.218086128094,803.884266231151,1830.22747648171,3748.91077100151,6466.5223053197,9277.13399132228
RES_InFP,2055,No mitigation,50th-percentile,68339125.0653069,71345441.8944661,72629064.4238022,73843513.506924,75089015.4380772,76236023.7002652,77437250.1416378,78259659.4854856,78979724.821489,79394698.6379245,86450195.0054718,93988668.9918685,103944864.90911,116847067.644039,118057701.341775,121526999.037672,122841831.091522,126324410.996016,132680800.735573,137885009.390681,147485965.890749,161630691.74932,187604728.008909
RES_InFP,2055,No mitigation,90th-percentile,72674581.5719019,75750622.3306134,78035890.8997323,79995078.0954778,81016142.7997652,81654432.0207053,82446901.0105316,83467956.0395424,84237698.7040084,84772313.6189598,90963512.3387719,99541559.00661,111227955.10002,125478982.318732,127566693.594127,130608490.574074,134197871.777234,137332837.232436,140999987.698201,146288088.253009,152917773.157731,161135247.513838,184522383.761389
RES_InFP,2055,Raise Utilities,50th-percentile,45722368.4161828,47490354.8147472,48561430.5882497,49315398.23344,50161843.6736712,51124166.7442398,52016054.0881101,52545309.7878151,53147968.0290555,53459369.4647295,58894530.464541,64681595.9574132,72426607.8298486,82364484.7322805,84285788.5620829,86574112.6648975,87875492.454965,90749427.9711512,96002614.7273382,100559296.951764,106974018.776332,123354042.509229,150107502.677898
RES_InFP,2055,Raise Utilities,90th-percentile,48231903.2214406,50764165.4818264,52198743.9509889,53831440.4395615,54671366.4321663,55206796.8076116,55853612.3252189,56587505.4043349,57101103.5506279,57523989.5055346,62288976.4693118,68914076.7364854,78004839.5106667,89768908.3873896,91236818.928596,94203669.5974367,96677408.0594533,99350771.6187442,102603241.81954,107905238.222822,113674249.300634,123142092.330677,145221132.089554
RES_InFP,2055,WFP B,50th-percentile,32303696.5700255,33425561.9963991,34263937.8713973,34879179.5106778,35615257.840483,36298919.9643733,36948580.6335248,37478064.8040919,37895138.2447849,38078610.1368354,42377041.1369523,46876491.1563085,52908709.2393412,60687042.9678782,61838964.2297037,63583968.7178838,64467886.5053555,66602210.350631,70771092.8919163,74339841.2710594,79022058.6376604,96642676.8397156,122877195.863792
RES_InFP,2055,WFP B,90th-percentile,33946500.4858829,36115025.2578585,37205085.0287264,38243914.5024164,39072225.7120088,39426958.1986246,40000624.3649081,40488534.1410193,40971875.2684166,41194059.2111802,44973851.9652034,50220134.7270853,57125248.5878042,65485368.7707422,67243466.3808482,69112611.7934425,71612490.8223403,73643366.2204292,76382583.4257635,80522313.2426943,85059144.7167949,93751623.5795772,116918188.558745
RES_InFP,2055,Elevate,50th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4989445.23398356,34780434.861784
RES_InFP,2055,Elevate,90th-percentile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7953543.43671513,31907443.5932911
