BuildingID,Longitude,Latitude,OccupancyType,OccupancyGroup,SOID,StructureValue,ContentValue,GroundElevation_ft,FFE_ft,DFE_Status,ManufRestriction,OccupancyFallback
7536715,-72.856311,40.758048,RES1-1SNB,RES,R11N,143336.43,71668.21,11.213,11.713,Above DFE,0,0
7536717,-72.856598,40.75812,RES1-1SWB,RES,R11B,188980.92,94490.46,11.7197,13.7197,Above DFE,0,0
7536719,-72.855202,40.75853,RES1-1SNB,RES,R11N,171402.75,85701.37,12.1196,12.6196,Above DFE,0,0
7536721,-72.855416,40.758483,RES1-1SWB,RES,R11B,247085.2,123542.6,11.0881,13.0881,Above DFE,0,0
7536723,-72.854922,40.758291,RES1-1SNB,RES,R11N,154254.19,77127.09,10.6603,12.1603,Above DFE,0,0
7536725,-72.854635,40.758649,RES1-2SWB,RES,R12B,538131.76,269065.88,11.3079,13.3079,Above DFE,0,0
7536727,-72.855952,40.758091,RES1-1SWB,RES,R11B,201952.51,100976.25,11.3225,13.3225,Above DFE,0,0
7536798,-72.856327,40.755318,RES3A,RES,R3A5B,744369.85,372184.92,8.1185,10.1185,Above DFE,0,0
7536800,-72.856402,40.754887,RES3A,RES,R3A3N,662836.06,331418.03,7.5119,9.0119,Under DFE,0,0
7536802,-72.856748,40.755534,RES3A,RES,R3A5N,704196.14,352098.07,8.0791,9.5791,Under DFE,0,0
7536804,-72.856353,40.755194,RES1-1SNB,RES,R11N,132213.74,66106.87,8.4729,9.9729,Under DFE,0,0
7536806,-72.856804,40.754115,RES1-1SNB,RES,R11N,121607.92,60803.96,8.2096,8.7096,Under DFE,0,0
7536808,-72.856347,40.755037,RES1-1SNB,RES,R11N,127834.8,63917.4,7.7426,8.2426,Under DFE,0,0
7536810,-72.856422,40.754418,RES1-2SWB,RES,R12B,258367.82,129183.91,7.5897,9.5897,Under DFE,0,0
7536812,-72.856384,40.754072,RES1-2SNB,RES,R12N,175129.94,87564.97,7.9656,8.4656,Under DFE,0,0
7536814,-72.856754,40.755132,COM5,NONRES,C5LN,NaN,NaN,8.625,9.125,Under DFE,0,0
7536816,-72.856434,40.754726,COM3,NONRES,C3LN,NaN,NaN,7.0494,7.5494,Under DFE,0,0
7536818,-72.856781,40.754626,RES1-1SWB,RES,R11B,176265.06,88132.53,7.1755,9.1755,Under DFE,0,0
7536820,-72.856815,40.754322,RES1-1SWB,RES,R11B,145986.73,72993.36,7.9383,9.9383,Under DFE,0,0
7536823,-72.856779,40.754805,RES1-1SWB,RES,R11B,177446.18,88723.09,7.3133,9.3133,Under DFE,0,0
7536825,-72.856352,40.755739,IND6,NONRES,I6LN,NaN,NaN,8.4172,8.9172,Under DFE,0,0
7536827,-72.856758,40.755713,RES1-1SWB,RES,R11B,160180.16,80090.08,9.7336,11.7336,Above DFE,0,0
7536829,-72.856293,40.762411,RES1-1SWB,RES,R11B,248273.75,124136.87,14.3856,16.3856,Above DFE,0,0
7536831,-72.856139,40.762429,COM1,NONRES,C1LN,NaN,NaN,14.1084,14.6084,Above DFE,0,0
7536833,-72.856893,40.762312,RES1-3SWB,RES,R13B,377112.11,188556.05,15.4734,17.4734,Above DFE,0,0
7536835,-72.857285,40.761904,COM3,NONRES,C3LN,379255.09,379255.09,14.3622,14.8622,Above DFE,0,0
7536837,-72.856795,40.762342,RES1-2SWB,RES,R12B,260517.99,130259,15.4091,17.4091,Above DFE,0,0
7536839,-72.856502,40.762042,RES1-1SWB,RES,R11B,136643.15,68321.58,14.8756,16.8756,Above DFE,0,0
7536841,-72.856125,40.762158,RES1-1SNB,RES,R11N,197700.15,98850.07,14.8997,15.3997,Above DFE,0,0
7537009,-72.856883,40.751757,RES1-2SWB,RES,R12B,281437.16,140718.58,4.2125,6.2125,Under DFE,0,0
7537011,-72.856839,40.751675,RES1-2SWB,RES,R12B,184538.99,92269.5,5.1179,7.1179,Under DFE,0,0
7537012,-72.856978,40.750994,RES1-2SNB,RES,R12N,240813.07,120406.54,3.9507,4.4507,Under DFE,0,0
7537014,-72.856556,40.750716,RES1-2SWB,RES,R12B,264520.55,132260.27,4.2266,6.2266,Under DFE,0,0
7537017,-72.856471,40.751477,RES1-1SNB,RES,R11N,117412.23,58706.12,3.8791,5.3791,Under DFE,0,0
7537019,-72.856933,40.751164,RES1-1SWB,RES,R11B,181771.77,90885.88,4.4107,6.4107,Under DFE,0,0
7537021,-72.856979,40.750696,COM4,NONRES,C4LN,NaN,NaN,3.9106,4.4106,Under DFE,0,0
